net,length_um
_047_,5.16
_209_,5.16
product[0],5.07
product[7],5.07
_098_,5.04
_332_,4.94
_175_,4.92
_392_,4.9
_078_,4.88
_192_,4.88
_229_,4.88
product[3],4.85
_387_,4.8
_136_,4.76
multiplier[6],4.73
_037_,4.7
_238_,4.68
_244_,4.58
_126_,4.48
_262_,4.48
_343_,4.48
_328_,4.46
net58,4.46
_287_,4.44
_380_,4.42
_394_,4.42
multiplier[2],4.39
multiplier[7],4.39
product[10],4.39
_096_,4.34
_099_,4.34
_115_,4.34
_278_,4.34
_338_,4.34
_388_,4.34
_370_,4.22
_163_,4.1
_414_,4.1
_186_,4.03
_113_,4.02
_374_,4.02
net54,4.02
_144_,4
_202_,4
_400_,4
_327_,3.9
_042_,3.88
_168_,3.88
_180_,3.88
_282_,3.88
_304_,3.88
_316_,3.76
_028_,3.66
_214_,3.56
_335_,3.56
_412_,3.56
_030_,3.54
_240_,3.54
_296_,3.54
_351_,3.54
_384_,3.54
_232_,3.52
_057_,3.44
_342_,3.44
_396_,3.42
_397_,3.42
net17,3.42
net27,3.42
net46,3.3
_353_,3.18
_051_,3.1
_258_,3.08
net37,3.08
_277_,2.98
_376_,2.98
_058_,2.96
_107_,2.96
_173_,2.96
_294_,2.96
net34,2.96
_123_,2.86
_362_,2.76
_217_,2.64
_195_,2.62
_197_,2.62
_206_,2.62
_241_,2.62
_263_,2.62
_288_,2.62
_172_,2.5
_273_,2.5
_323_,2.5
_146_,2.4
_060_,2.3
_311_,2.3
_393_,2.3
_023_,2.18
_044_,2.18
_109_,2.18
_135_,2.18
_138_,2.18
net25,2.18
_076_,2.16
_128_,2.16
_162_,2.16
_293_,2.16
_337_,2.16
_428_,2.16
net44,2.16
net53,2.16
_444_,2.09
_147_,2.06
_242_,2.06
_424_,2.06
_072_,2.04
_422_,2.04
_423_,2.04
_005_,1.84
_305_,1.84
_276_,1.82
_281_,1.82
_315_,1.82
_357_,1.82
_040_,1.72
_436_,1.72
_032_,1.7
_171_,1.7
_253_,1.7
net51,1.7
net55,1.7
_326_,1.6
_443_,1.46
_022_,1.26
_140_,1.26
_194_,1.14
_085_,1.02
_065_,0.92
_101_,0.92
_233_,0.92
_355_,0.92
_142_,0.8
_158_,0.8
_292_,0.46
_432_,0.46
